choosen_case_number,choosen_case_value,last_case_number,last_case_value
12,1000000,25,10
11,1000000,20,400000
5,500,21,1000000
24,1000000,25,750
1,1000000,4,50
5,1000000,19,100
21,1000000,6,500
20,0.01,10,1000000
7,1000000,16,750
22,1000000,18,1
17,10000,14,1000000
5,1000000,20,0.5
12,1000000,15,10000
1,100000,13,1000000
7,50000,18,1000000
15,1000000,9,5
23,1000000,10,200000
17,1000000,20,500
6,100,17,1000000
3,1000000,22,200
6,25000,15,1000000
17,100,2,1000000
8,0.5,1,1000000
2,1000000,13,1000
19,400000,15,1000000
6,1000000,25,5
8,75,25,1000000
2,400000,21,1000000
18,100,21,1000000
1,0.1,13,1000000
19,1000000,8,300
14,50000,25,1000000
5,1000000,2,100
21,100,6,1000000
20,0.1,8,1000000
21,100,17,1000000
15,1000000,13,0.5
12,1000000,20,5
2,1000000,22,1
5,1000000,13,5
18,1000000,24,75
12,1000000,21,0.01
12,1000000,25,200
20,1000000,22,0.01
20,1000000,23,750000
11,1000000,2,50000
2,1000000,14,0.5
9,1000000,5,300
16,1000000,13,10
17,75,25,1000000
16,300000,7,1000000
21,300,24,1000000
20,400000,23,1000000
18,200,10,1000000
16,1000000,12,300
3,1000000,6,1000
14,1000000,22,750
10,1000000,6,100
23,1000000,15,50000
13,0.5,20,1000000
0,5000,17,1000000
11,50000,10,1000000
2,1000000,12,200000
11,1000000,19,50000
19,1000000,18,300
25,10000,6,1000000
2,1000000,20,1
17,1000000,23,5
12,1000000,5,75
4,1000000,1,25000
15,1000000,23,0.1
0,300000,6,1000000
0,1000000,10,100000
23,50000,7,1000000
0,1000000,22,0.1
14,1000000,17,750
20,1000000,12,300
25,300,24,1000000
17,0.01,18,1000000
11,1000000,13,500000
25,1000000,21,0.01
0,75,20,1000000
7,5000,16,1000000
17,1000000,13,200
4,1000000,5,750000
13,100,3,1000000
2,75000,16,1000000
16,750,3,1000000
5,750,7,1000000
20,50,15,1000000
22,0.1,16,1000000
0,1000000,17,0.01
