choosen_door_number,choosen_door_is_grand_prize,last_door_number,last_door_is_grand_prize
13,false,37,true
77,false,78,true
68,false,78,true
20,false,37,true
52,false,64,true
55,false,49,true
73,false,64,true
83,false,45,true
74,false,66,true
4,false,18,true
40,false,44,true
13,false,87,true
65,false,13,true
91,false,95,true
81,false,87,true
10,false,23,true
77,false,27,true
74,false,69,true
4,false,20,true
54,false,72,true
35,false,49,true
3,false,60,true
16,false,37,true
46,false,24,true
31,false,26,true
23,false,39,true
35,false,13,true
50,false,69,true
84,false,70,true
18,false,85,true
57,false,29,true
97,false,55,true
24,false,79,true
65,false,20,true
95,false,53,true
43,false,1,true
38,false,32,true
65,false,42,true
70,false,64,true
82,false,84,true
18,false,17,true
58,false,16,true
12,false,29,true
54,false,16,true
33,false,4,true
90,false,41,true
57,false,23,true
47,false,57,true
89,false,39,true
53,false,92,true
42,false,80,true
23,false,16,true
69,false,54,true
16,false,19,true
21,false,28,true
19,false,45,true
12,false,84,true
100,false,99,true
53,false,69,true
89,false,22,true
3,false,38,true
87,false,42,true
50,false,75,true
9,false,73,true
83,false,48,true
11,false,20,true
95,false,25,true
3,false,37,true
26,false,85,true
9,false,39,true
88,false,54,true
82,false,69,true
100,false,27,true
92,false,77,true
9,false,57,true
24,false,17,true
88,false,33,true
60,false,35,true
82,false,7,true
97,false,99,true
44,false,71,true
91,false,85,true
44,false,40,true
54,false,30,true
18,false,7,true
34,false,90,true
60,false,73,true
9,false,28,true
40,false,94,true
30,false,87,true
51,false,90,true
57,false,84,true
5,false,51,true
83,false,96,true
95,false,36,true
33,false,19,true
62,false,37,true
44,false,58,true
52,false,8,true
70,false,69,true
4,false,68,true
40,false,44,true
89,false,75,true
70,false,41,true
44,false,52,true
57,false,7,true
19,false,71,true
75,false,21,true
42,false,78,true
30,false,96,true
76,false,70,true
96,false,11,true
26,false,37,true
39,false,64,true
33,false,20,true
77,false,1,true
81,false,83,true
12,false,8,true
60,false,29,true
67,false,56,true
34,false,100,true
9,false,100,true
4,false,13,true
87,false,21,true
87,false,17,true
11,false,95,true
83,false,4,true
96,false,21,true
81,false,96,true
59,false,27,true
12,false,59,true
79,false,35,true
58,false,49,true
21,false,48,true
33,false,13,true
59,false,94,true
92,false,7,true
49,false,80,true
58,false,53,true
95,false,46,true
78,false,14,true
24,false,37,true
56,false,6,true
48,false,93,true
21,false,70,true
65,false,15,true
72,false,91,true
62,false,58,true
30,false,81,true
51,false,28,true
23,false,97,true
8,true,58,false
53,false,100,true
1,false,20,true
10,false,7,true
62,false,63,true
2,false,98,true
21,false,51,true
20,false,7,true
25,false,96,true
69,false,50,true
97,false,4,true
66,false,64,true
55,false,37,true
49,false,19,true
90,false,21,true
34,false,98,true
27,false,26,true
23,false,67,true
10,false,83,true
95,false,84,true
9,false,22,true
84,false,42,true
49,false,55,true
81,false,10,true
95,false,88,true
43,false,71,true
41,false,83,true
81,false,65,true
13,false,50,true
43,false,77,true
30,false,89,true
93,false,44,true
74,false,18,true
3,false,95,true
28,false,91,true
60,false,82,true
82,false,36,true
66,false,54,true
24,false,63,true
53,false,12,true
75,false,30,true
13,false,31,true
25,false,56,true
73,false,68,true
33,false,11,true
82,false,57,true
15,false,48,true
2,false,46,true
33,false,60,true
93,false,88,true
92,false,46,true
49,false,19,true
71,false,93,true
33,false,86,true
50,false,71,true
17,false,9,true
30,false,40,true
65,false,96,true
58,false,99,true
65,false,21,true
83,false,20,true
94,false,78,true
59,false,25,true
98,false,34,true
26,false,100,true
97,false,64,true
18,false,53,true
82,false,95,true
60,false,38,true
19,false,16,true
86,false,66,true
35,false,93,true
54,false,1,true
32,false,79,true
5,false,39,true
17,false,6,true
68,false,57,true
87,false,83,true
89,false,5,true
100,false,85,true
15,false,17,true
49,false,99,true
32,false,93,true
50,false,21,true
64,false,49,true
27,false,1,true
49,false,82,true
99,false,92,true
66,false,20,true
20,false,73,true
38,false,63,true
80,false,62,true
10,false,32,true
78,false,33,true
69,false,90,true
55,false,97,true
14,false,4,true
75,false,33,true
79,false,18,true
89,false,92,true
58,false,9,true
75,true,80,false
47,false,40,true
71,false,63,true
61,false,87,true
2,false,34,true
27,false,66,true
30,false,46,true
76,false,74,true
36,false,14,true
20,false,64,true
11,false,85,true
73,false,6,true
1,false,75,true
24,false,100,true
46,false,83,true
89,false,41,true
5,false,82,true
71,false,8,true
72,false,92,true
35,false,40,true
59,false,21,true
69,false,45,true
94,false,72,true
5,false,34,true
1,false,98,true
62,false,36,true
80,false,35,true
20,false,63,true
61,false,79,true
88,false,24,true
57,false,80,true
6,false,77,true
65,false,64,true
95,false,90,true
4,false,32,true
81,false,87,true
68,false,79,true
61,false,8,true
2,false,7,true
49,false,84,true
84,false,24,true
79,false,4,true
12,false,6,true
63,false,98,true
65,false,93,true
82,false,94,true
79,false,32,true
48,false,60,true
27,false,84,true
18,false,80,true
93,false,82,true
98,false,61,true
72,false,92,true
18,false,23,true
81,false,25,true
58,false,86,true
4,false,100,true
55,false,38,true
65,false,75,true
72,false,38,true
53,false,2,true
42,false,93,true
30,false,68,true
71,false,1,true
68,false,96,true
4,false,40,true
100,false,13,true
48,false,21,true
7,false,21,true
19,false,45,true
95,false,69,true
63,false,82,true
57,false,13,true
24,false,2,true
69,false,41,true
93,false,86,true
43,false,64,true
46,false,8,true
71,false,64,true
6,false,9,true
56,false,6,true
44,false,49,true
54,false,45,true
13,false,42,true
58,false,16,true
4,false,57,true
53,false,26,true
30,false,42,true
81,false,23,true
75,false,79,true
75,false,44,true
60,false,14,true
14,false,39,true
64,false,90,true
65,false,42,true
49,false,50,true
71,false,10,true
51,false,92,true
54,false,79,true
93,false,38,true
25,false,22,true
78,false,5,true
2,false,12,true
98,false,46,true
21,false,20,true
4,false,23,true
54,false,95,true
100,false,16,true
31,false,4,true
68,false,96,true
51,false,83,true
67,false,100,true
46,false,17,true
99,false,64,true
40,false,67,true
37,false,12,true
10,false,69,true
27,false,100,true
94,false,88,true
5,false,49,true
9,false,24,true
9,false,45,true
47,false,31,true
36,false,42,true
99,false,77,true
7,false,90,true
14,false,62,true
15,false,3,true
78,false,10,true
31,false,99,true
21,false,64,true
88,false,28,true
66,false,50,true
47,false,71,true
70,false,30,true
54,false,4,true
1,false,7,true
25,false,68,true
27,false,36,true
22,false,10,true
81,false,4,true
67,false,86,true
49,false,63,true
30,false,73,true
7,false,22,true
80,false,88,true
23,false,26,true
99,false,18,true
71,false,42,true
72,false,42,true
49,false,91,true
58,false,7,true
47,false,37,true
86,false,74,true
15,false,69,true
57,false,84,true
59,false,29,true
39,false,92,true
11,false,85,true
20,false,86,true
96,false,45,true
2,false,26,true
41,false,6,true
64,false,59,true
59,false,26,true
72,false,88,true
1,false,57,true
56,false,30,true
69,false,86,true
29,false,59,true
55,false,58,true
9,false,51,true
43,false,80,true
36,false,65,true
35,false,1,true
43,false,81,true
43,false,24,true
37,false,90,true
9,false,69,true
5,false,43,true
23,false,51,true
93,false,26,true
15,false,77,true
77,false,86,true
51,false,64,true
93,false,90,true
1,false,70,true
25,false,19,true
63,false,67,true
14,false,75,true
96,false,47,true
72,false,33,true
7,false,14,true
93,false,88,true
81,false,94,true
56,false,90,true
93,false,23,true
71,false,37,true
13,true,45,false
71,false,68,true
66,false,7,true
86,false,7,true
9,false,76,true
94,false,60,true
11,false,9,true
61,false,84,true
59,false,58,true
24,false,42,true
46,false,27,true
56,false,45,true
52,false,55,true
84,false,31,true
9,false,98,true
59,false,22,true
70,false,69,true
58,false,87,true
65,false,14,true
69,false,66,true
62,false,81,true
13,false,60,true
69,false,21,true
69,false,67,true
100,false,16,true
11,false,47,true
72,false,84,true
42,false,61,true
84,false,94,true
76,false,37,true
38,false,85,true
83,false,51,true
77,false,90,true
27,false,80,true
83,false,76,true
6,false,86,true
37,false,67,true
34,false,90,true
10,false,76,true
76,false,34,true
74,false,24,true
44,false,90,true
79,false,26,true
12,false,76,true
20,false,56,true
77,false,81,true
61,false,10,true
38,false,74,true
65,false,88,true
24,false,58,true
91,false,7,true
10,false,18,true
53,false,6,true
53,true,4,false
17,false,13,true
86,false,37,true
76,false,95,true
41,false,33,true
13,false,52,true
62,false,8,true
62,false,23,true
49,false,100,true
67,false,99,true
84,false,63,true
62,false,72,true
81,false,69,true
63,false,37,true
61,false,8,true
56,false,84,true
98,false,30,true
5,false,9,true
61,false,77,true
1,false,49,true
92,false,57,true
3,false,4,true
75,false,67,true
63,false,45,true
50,false,47,true
24,false,1,true
59,false,3,true
15,false,62,true
57,false,85,true
34,false,49,true
89,false,13,true
86,false,72,true
35,true,89,false
82,false,6,true
58,false,39,true
45,false,76,true
81,false,94,true
93,false,6,true
48,false,64,true
79,false,40,true
24,false,82,true
43,false,72,true
69,false,85,true
37,false,96,true
75,false,14,true
38,false,42,true
45,false,8,true
30,false,5,true
41,false,15,true
75,false,26,true
73,false,54,true
97,false,28,true
86,false,90,true
39,false,93,true
99,false,13,true
1,false,88,true
64,false,16,true
79,false,78,true
91,false,88,true
61,false,28,true
7,false,63,true
43,true,20,false
83,false,46,true
27,false,88,true
13,false,65,true
52,false,34,true
52,false,14,true
59,false,51,true
58,false,38,true
36,false,100,true
36,false,20,true
56,false,71,true
92,false,11,true
15,false,5,true
59,false,52,true
56,false,100,true
59,false,16,true
21,false,64,true
32,false,44,true
31,false,28,true
34,false,30,true
52,false,32,true
70,false,58,true
59,false,93,true
80,false,46,true
82,false,8,true
42,false,73,true
1,false,95,true
73,false,47,true
79,true,92,false
70,false,20,true
24,false,30,true
92,false,52,true
34,false,1,true
27,false,44,true
48,false,16,true
53,false,79,true
41,false,12,true
62,false,18,true
75,false,97,true
7,false,8,true
17,false,90,true
94,false,57,true
4,false,62,true
91,false,44,true
66,false,74,true
38,false,89,true
25,false,16,true
47,false,77,true
98,false,94,true
15,false,77,true
50,false,73,true
95,false,98,true
17,false,82,true
53,false,86,true
32,false,16,true
54,false,76,true
38,false,39,true
24,false,63,true
18,false,33,true
37,false,31,true
77,false,40,true
24,false,92,true
60,false,48,true
35,false,87,true
21,false,59,true
26,false,68,true
80,false,35,true
31,false,40,true
98,false,57,true
94,false,22,true
89,false,84,true
19,false,79,true
96,false,20,true
52,false,27,true
75,false,53,true
57,false,53,true
45,false,49,true
64,false,58,true
46,false,86,true
46,false,62,true
62,false,24,true
41,false,60,true
35,false,11,true
69,false,97,true
58,false,41,true
59,false,78,true
62,false,40,true
93,false,31,true
77,false,94,true
19,false,72,true
52,false,20,true
59,false,95,true
97,false,64,true
27,false,5,true
34,false,86,true
14,false,53,true
39,false,33,true
26,false,70,true
3,false,99,true
23,false,18,true
63,false,9,true
18,false,77,true
85,false,61,true
63,false,49,true
41,false,89,true
81,false,76,true
24,false,71,true
41,false,93,true
55,true,48,false
92,false,2,true
24,false,7,true
70,false,33,true
89,false,55,true
4,false,66,true
43,false,8,true
73,false,15,true
29,false,34,true
4,false,29,true
53,false,35,true
49,false,64,true
85,false,48,true
4,false,90,true
34,false,73,true
86,false,66,true
22,false,32,true
50,false,23,true
71,false,48,true
41,false,62,true
11,false,97,true
32,false,87,true
1,false,22,true
1,false,31,true
72,false,39,true
19,false,77,true
30,false,82,true
72,false,94,true
5,false,20,true
68,false,71,true
47,false,80,true
55,false,33,true
3,false,66,true
95,false,48,true
7,false,86,true
48,false,95,true
46,false,49,true
96,false,9,true
20,false,23,true
29,false,19,true
100,false,24,true
59,false,55,true
24,false,63,true
84,false,45,true
12,false,47,true
1,false,90,true
70,false,31,true
3,false,90,true
91,false,26,true
99,false,47,true
91,false,74,true
34,false,38,true
35,false,38,true
98,false,9,true
8,false,28,true
32,false,74,true
84,false,85,true
4,false,40,true
52,false,43,true
16,false,50,true
52,false,66,true
75,false,23,true
30,false,78,true
10,false,24,true
43,false,47,true
68,false,7,true
43,false,81,true
30,false,53,true
17,false,39,true
74,false,55,true
23,false,88,true
81,false,89,true
16,false,13,true
99,false,15,true
14,false,62,true
9,false,69,true
68,false,15,true
30,false,70,true
50,false,25,true
66,false,53,true
24,false,55,true
94,false,61,true
51,false,6,true
51,false,34,true
34,false,62,true
81,false,4,true
25,false,4,true
49,false,35,true
88,false,18,true
81,false,48,true
24,false,87,true
81,false,35,true
55,false,3,true
57,false,99,true
42,false,53,true
91,false,90,true
70,false,50,true
94,false,52,true
14,true,2,false
29,false,72,true
9,false,98,true
30,false,68,true
11,false,3,true
69,false,67,true
27,false,76,true
23,false,62,true
38,false,88,true
26,true,21,false
99,false,67,true
47,false,54,true
87,false,15,true
77,false,93,true
43,false,65,true
44,false,42,true
86,false,53,true
87,false,64,true
9,false,10,true
23,false,43,true
80,false,21,true
6,false,92,true
31,false,5,true
81,false,58,true
25,false,99,true
51,false,61,true
43,false,46,true
18,false,48,true
92,false,84,true
62,false,19,true
93,false,95,true
17,false,44,true
82,false,32,true
81,false,35,true
93,false,40,true
28,false,100,true
69,false,48,true
47,false,95,true
28,false,69,true
69,false,68,true
85,false,7,true
47,false,69,true
25,false,67,true
4,false,71,true
34,false,46,true
39,false,70,true
10,false,27,true
75,false,95,true
89,false,51,true
80,false,97,true
66,false,81,true
45,false,63,true
97,false,41,true
62,false,77,true
47,false,68,true
25,false,12,true
81,false,44,true
26,false,91,true
29,false,93,true
4,false,90,true
36,false,2,true
59,false,90,true
64,false,100,true
57,false,87,true
59,true,40,false
72,false,7,true
28,false,66,true
42,false,46,true
17,false,5,true
8,false,44,true
29,false,2,true
50,false,73,true
78,false,43,true
4,false,72,true
12,false,96,true
95,false,41,true
38,false,28,true
31,false,74,true
66,false,21,true
34,false,2,true
97,false,29,true
77,false,67,true
52,false,18,true
34,false,77,true
46,false,54,true
21,false,6,true
88,false,17,true
92,false,35,true
47,false,10,true
14,false,84,true
36,false,45,true
34,false,14,true
58,false,53,true
87,false,9,true
58,false,40,true
79,false,69,true
31,false,18,true
90,false,89,true
53,false,15,true
71,false,11,true
99,false,81,true
68,false,8,true
72,false,13,true
9,false,55,true
90,false,60,true
45,false,74,true
85,false,86,true
87,false,31,true
53,false,34,true
61,false,74,true
67,false,85,true
58,false,75,true
72,false,31,true
68,false,96,true
27,false,98,true
53,false,28,true
27,false,46,true
68,false,52,true
55,false,83,true
89,false,16,true
13,false,73,true
68,false,25,true
80,false,33,true
5,false,58,true
55,false,44,true
84,false,62,true
88,false,23,true
89,false,16,true
41,false,60,true
70,false,29,true
61,false,100,true
66,false,26,true
99,false,82,true
55,false,92,true
70,false,57,true
8,false,20,true
32,false,10,true
12,false,70,true
19,false,25,true
18,false,2,true
24,false,22,true
5,false,67,true
85,false,32,true
72,false,44,true
11,false,68,true
82,false,16,true
47,false,45,true
29,false,89,true
92,false,72,true
90,false,82,true
37,false,23,true
72,false,73,true
72,false,22,true
23,false,80,true
74,false,97,true
63,false,99,true
67,false,16,true
56,false,7,true
54,false,26,true
12,false,89,true
24,false,90,true
90,false,78,true
33,false,36,true
97,false,10,true
26,false,38,true
71,false,46,true
60,false,51,true
42,false,47,true
45,false,69,true
88,false,94,true
44,false,38,true
98,false,3,true
48,false,92,true
78,false,37,true
52,false,55,true
81,false,13,true
41,false,67,true
86,false,56,true
73,false,27,true
66,false,43,true
9,false,68,true
30,false,58,true
63,false,66,true
68,false,74,true
77,false,37,true
70,false,72,true
59,false,82,true
95,false,20,true
70,false,26,true
74,false,81,true
3,false,59,true
5,false,92,true
73,false,13,true
61,false,63,true
20,false,53,true
43,true,98,false
95,false,76,true
87,false,96,true
98,false,77,true
37,false,25,true
17,false,18,true
70,false,90,true
13,false,21,true
49,false,50,true
28,false,38,true
48,false,76,true
37,false,92,true
93,false,52,true
16,false,61,true
48,false,22,true
96,false,74,true
81,false,44,true
2,false,6,true
57,false,35,true
18,false,17,true
7,false,27,true
27,false,53,true
55,false,34,true
98,false,16,true
37,false,34,true
13,false,73,true
7,false,73,true
87,false,94,true
60,false,62,true
23,false,31,true
93,false,36,true
49,false,62,true
69,false,45,true
40,false,10,true
1,false,98,true
